product_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
MONICA,88119-BLK/FD,1270,15157300.000,-2516402.930,-416500.000,12224397.070,0.000,12224397.070
MONICA,88119-BRN/BRNFD-C10-02,1113,14225200.000,-3337028.550,-373560.000,10514611.450,0.000,10514611.450
MIA,MIA-BLK/BLKPL,1017,11825900.000,-1753166.660,-264800.000,9807933.340,0.000,9807933.340
SAHARA,189-GOLD/BLK,1016,11371500.000,-1617182.570,-183766.660,9570550.770,0.000,9570550.770
ECSTASY,AC-000151-BLK/BLKFD,941,11592600.000,-1368111.600,-427500.000,9796988.400,0.000,9796988.400
LAGUNA,169-BLK/BLK,909,11345700.000,-2611580.000,-262910.000,8471210.000,0.000,8471210.000
HOT PARTY SUNSET GLASS,185-BLK/BLK,880,10227400.000,-1752410.190,-338200.000,8136789.810,0.000,8136789.810
SLASH,154-BLK/BLKFD,871,10228100.000,-1191221.430,-256133.340,8780745.230,0.000,8780745.230
MONICA,88119-BLK/BLK-C9-08,806,10118700.000,-2210798.070,-249193.100,7658708.830,0.000,7658708.830
LAGUNA,169-BRN/BRN,700,8938100.000,-2234740.000,-258400.000,6444960.000,0.000,6444960.000
LAGUNA,169-SLV/BLK,654,8627800.000,-2315277.850,-207143.400,6105378.750,0.000,6105378.750
CARMEN,7171-GOLD/SHADOW C9,634,7733700.000,-1440630.190,-239533.340,6053536.470,0.000,6053536.470
SLASH,154-BLK/BLK,625,6993600.000,-478500.000,-141200.000,6373900.000,0.000,6373900.000
CARMEN,7171-GOLD/GRNPINK C8,616,7295900.000,-1408638.950,-178800.000,5708461.050,0.000,5708461.050
GENERATION,159-BLK/BLK,607,7279900.000,-1152663.540,-184700.000,5942536.460,0.000,5942536.460
SLASH,154-BLK/BLUE,585,7450900.000,-1302593.270,-330816.670,5817490.060,0.000,5817490.060
BORA BORA,168-BLK/FD,571,6161400.000,-512180.190,-28800.000,5620419.810,0.000,5620419.810
HOT PARTY SUNSET GLASS,185-BLUE/BLKFD,552,6719600.000,-1344823.840,-253900.000,5120876.160,0.000,5120876.160
STELLA,166-GOLD/BLKFD,537,6941800.000,-1599633.400,-204703.740,5137462.860,0.000,5137462.860
STELLA,166-GOLD/GREYFD,536,6751000.000,-1507183.470,-227200.000,5016616.530,0.000,5016616.530
SPITZ,155-BLK/BLK,532,6523000.000,-902939.940,-228900.000,5391160.060,0.000,5391160.060
ECSTASY,AC-000151-BLK/BLKPOL,521,6690500.000,-801298.980,-289500.000,5599701.020,0.000,5599701.020
SLASH,154-WHT/BLKFD,519,6531000.000,-1336524.290,-214100.000,4980375.710,0.000,4980375.710
LAGUNA,169-BLKRED/BLK,507,6537000.000,-1552775.000,-274900.000,4709325.000,0.000,4709325.000
HOT PARTY SUNSET GLASS,185-BLK/BLUEFD,499,5883200.000,-1017400.000,-311100.000,4554700.000,0.000,4554700.000
CARMEN,7171-GOLD/BRN C5,494,5813200.000,-995890.200,-82900.000,4734409.800,0.000,4734409.800
NEVADA,160-BLK/BLK,483,5818300.000,-1003417.920,-118100.000,4696782.080,0.000,4696782.080
BORA BORA,168-BLK/BLK,469,5941300.000,-1408177.300,-324200.000,4208922.700,0.000,4208922.700
LAGUNA,169-BEIGE/GREY,464,6416100.000,-2015131.660,-169650.000,4231318.340,0.000,4231318.340
HOT PARTY MIDDAY GLASS,184-BLK/BLK,464,5399200.000,-986347.410,-141900.000,4270952.590,0.000,4270952.590
LEGEND,162-BLK/SHADOW,453,5295000.000,-713642.860,-113333.330,4468023.810,0.000,4468023.810
ECSTASY MINI,AC-164-BLK/BLKPOL,452,6231200.000,-1326223.790,-208900.000,4696076.210,0.000,4696076.210
ADORA,161-GOLD/BLKPL,452,5927900.000,-1290947.720,-218500.000,4418452.280,0.000,4418452.280
PHANTOM,174-BRN/BRNFD,442,5770500.000,-1709520.130,-167900.000,3893079.870,0.000,3893079.870
LAGUNA,169-BLK/FD,436,5398400.000,-1187003.530,-142600.000,4068796.470,0.000,4068796.470
BORA BORA,168-BEIGE/GREY,412,4944500.000,-1032870.000,-128210.000,3783420.000,0.000,3783420.000
HOT PARTY MIDDAY GLASS,184-TORT/BRNFD,411,4977600.000,-1242200.000,-105600.000,3629800.000,0.000,3629800.000
LEGEND,162-BLK/BLK,406,4938200.000,-965909.610,-190600.000,3781690.390,0.000,3781690.390
GENERATION,159-BLK/GRN,397,5295200.000,-1461935.080,-130856.590,3702408.330,0.000,3702408.330
SAHARA,189-BLK/BLK,382,4774100.000,-1101871.990,-140100.000,3532128.010,0.000,3532128.010
SPITZ,155-PEACH/SLV,373,4682000.000,-669835.310,-97466.670,3914698.020,0.000,3914698.020
JAGA JAGA,167-BLK/BLK,373,4539500.000,-933100.010,-139900.000,3466499.990,0.000,3466499.990
LAGUNA,169-GRN/BLK,370,4649200.000,-1168616.670,-116650.000,3363933.330,0.000,3363933.330
EXTRA,88264-BLACK-C9-08,368,4578700.000,-1064858.330,-47300.000,3466541.670,0.000,3466541.670
ECSTASY MINI,AC-164-BLK/SHADOW,368,4813600.000,-705395.610,-283000.000,3825204.390,0.000,3825204.390
MONICA,88119-BLK/ROSE-C9-43,367,4972800.000,-1439850.130,-140475.000,3392474.870,0.000,3392474.870
BORA BORA,168-BRN/BRN,363,4463600.000,-970890.000,-130800.000,3361910.000,0.000,3361910.000
MIA,MIA-BLK/BLKFD,359,4833900.000,-1129839.940,-172366.660,3531693.400,0.000,3531693.400
